City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Ponta Do Sol,PT,67.01,scattered clouds,32.6667,-17.1,Hotel do Campo
4,Roccastrada,IT,74.01,few clouds,43.0099,11.1665,La Melosa Resort & Spa
17,Gambela,ET,71.19,light rain,8.25,34.5833,Solomon Debebe Hotel
18,Arnoldstein,AT,69.19,broken clouds,46.5461,13.71,Südrast Dreiländerecke
20,Horki,BY,67.98,clear sky,54.2861,30.9842,Gostinitsa Pronya Top
24,Ponta Delgada,PT,67.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
32,Araxa,BR,67.96,scattered clouds,-19.5933,-46.9406,Plaza Inn Flat Araxá
40,Maceio,BR,74.64,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
41,Mahebourg,MU,70.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
43,Hollola,FI,69.57,broken clouds,61.05,25.4333,Villa Aleksi
53,Mangan,IN,74.88,overcast clouds,27.5167,88.5333,Hotel Mout View
56,Jamestown,US,67.59,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
62,Xapuri,BR,74.79,clear sky,-10.6517,-68.5044,Pousada dos Chapurys
70,Omboue,GA,71.58,overcast clouds,-1.5746,9.2618,Hotel Olako
80,Faya,SA,75.72,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
81,Xuddur,SO,69.28,overcast clouds,4.1213,43.8894,Banjanay Hotel
86,Penalva,BR,74.88,scattered clouds,-3.2942,-45.1736,Hotel São José
88,Bambous Virieux,MU,70.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
101,Wamba,NG,73.0,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
103,Sao Filipe,CV,74.8,scattered clouds,14.8961,-24.4956,Hotel Xaguate
105,Olinda,BR,74.93,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
111,Malakal,SS,74.39,broken clouds,9.5334,31.6605,Nile Palace Hotel
112,New Glasgow,CA,73.18,scattered clouds,45.5834,-62.6486,"Holiday Inn Express Stellarton-New Glasgow, an IHG Hotel"
119,Baft,IR,73.99,few clouds,29.234,56.6057,Paeez Hotel & restaurant
123,Ruzsa,HU,71.78,clear sky,46.2881,19.7471,Lasancz vendégház
124,Nantucket,US,71.65,broken clouds,41.2835,-70.0995,Jared Coffin House
134,Albion,US,70.18,clear sky,42.2431,-84.753,Days Inn by Wyndham Albion
135,Praia Da Vitoria,PT,68.25,broken clouds,38.7333,-27.0667,Hotel Branco I
141,Grand Gaube,MU,70.2,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
144,Tambovka,RU,70.66,scattered clouds,50.0969,128.0489,Lyzhnaya Gorka
146,Gasa,PS,75.56,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
155,Marawi,PH,71.42,overcast clouds,7.9986,124.2928,Derogongan Residence
157,Vila Franca Do Campo,PT,67.19,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
161,Yukhnov,RU,69.76,scattered clouds,54.7444,35.2297,Yukhnovgrad
165,Canandaigua,US,67.33,broken clouds,42.8742,-77.288,The Inn On The Lake
168,Alma,CA,72.1,broken clouds,48.5501,-71.6491,Hotel Universel
196,Souillac,MU,70.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
197,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
199,Sao Jose Da Coroa Grande,BR,75.78,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
201,Alto Araguaia,BR,68.16,clear sky,-17.3147,-53.2153,Araguaia Palace Hotel
203,Sandomierz,PL,71.65,scattered clouds,50.6827,21.749,Hotel Pod Ciżemką
209,Idukki,IN,67.44,light rain,9.85,76.9667,"GOVERNMENT GUEST HOUSE, IDUKKI"
211,Quatre Cocos,MU,69.91,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
217,Kalas,IN,74.12,overcast clouds,18.1667,74.8,Aglave wasti
225,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
229,Luanda,AO,67.33,few clouds,-8.8368,13.2343,EPIC SANA Luanda
234,Meulaboh,ID,75.09,overcast clouds,4.1363,96.1285,Kost Pria
247,Cap Malheureux,MU,67.46,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
255,Tshikapa,CD,69.46,clear sky,-6.4167,20.8,Tatem beach
270,Mao,ES,72.16,few clouds,39.8885,4.2658,ARTIEM Capri
276,Kindu,CD,71.33,scattered clouds,-2.95,25.95,Résidence Okanda
277,Siverek,TR,71.42,clear sky,37.755,39.3167,Mercan Hotel
283,Maragogi,BR,75.4,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
289,Port-Gentil,GA,73.36,broken clouds,-0.7193,8.7815,Fengshui Residence
293,Tocache,PE,74.39,clear sky,-8.1842,-76.5125,Residencial JATER
298,Puerto Del Rosario,ES,71.35,overcast clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
302,Sydney Mines,CA,70.18,clear sky,46.2367,-60.2177,At The Harbourfront B&B Inc
305,Sayyan,YE,69.66,overcast clouds,15.1718,44.3244,ملاطف ابوحورية
308,Punalur,IN,73.65,overcast clouds,9.0,76.9333,Motel Araam
320,Moroni,KM,74.03,clear sky,-11.7022,43.2551,Hotel Les Arcades
