City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,East London,ZA,-33.0153,27.9116,58.03,50,0,7.45,clear sky
1,Ponta Do Sol,PT,32.6667,-17.1,67.01,66,34,7.63,scattered clouds
2,Yar-Sale,RU,66.8333,70.8333,53.51,48,100,27.4,overcast clouds
3,Garowe,SO,8.4054,48.4845,76.91,57,41,31.88,scattered clouds
4,Roccastrada,IT,43.0099,11.1665,74.01,90,16,1.57,few clouds
5,Cidreira,BR,-30.1811,-50.2056,60.4,89,100,8.16,overcast clouds
6,Pasni,PK,25.2631,63.471,82.08,90,26,8.79,scattered clouds
7,Murmashi,RU,68.8154,32.8115,51.42,71,0,7.0,clear sky
8,Victoria,HK,22.2855,114.1577,86.25,83,43,5.99,scattered clouds
9,Hithadhoo,MV,-0.6,73.0833,82.94,73,100,9.93,overcast clouds
10,Acarau,BR,-2.8856,-40.12,78.28,85,60,11.12,broken clouds
11,Mehamn,NO,71.0357,27.8492,58.95,58,10,12.66,clear sky
12,Iqaluit,CA,63.7506,-68.5145,58.73,38,75,19.57,broken clouds
13,Salalah,OM,17.0151,54.0924,82.49,94,100,2.3,overcast clouds
14,Verkhnyaya Inta,RU,65.9811,60.3094,39.51,91,100,15.03,light rain
15,Viedma,AR,-40.8135,-62.9967,49.05,50,78,10.02,broken clouds
16,Piney Green,US,34.716,-77.3202,80.55,96,100,3.44,overcast clouds
17,Gambela,ET,8.25,34.5833,71.19,84,100,5.75,light rain
18,Arnoldstein,AT,46.5461,13.71,69.19,68,70,4.43,broken clouds
19,Ushuaia,AR,-54.8,-68.3,42.46,56,75,12.66,broken clouds
20,Horki,BY,54.2861,30.9842,67.98,90,8,6.15,clear sky
21,Chuy,UY,-33.6971,-53.4616,51.69,91,100,5.23,moderate rain
22,Ajdabiya,LY,30.7554,20.2263,83.3,35,0,9.19,clear sky
23,Sanchi,IN,23.4833,77.7333,83.77,70,100,6.53,overcast clouds
24,Ponta Delgada,PT,37.7333,-25.6667,67.5,68,75,5.75,broken clouds
25,Grindavik,IS,63.8424,-22.4338,53.55,81,75,11.5,broken clouds
26,Ostrovnoy,RU,68.0531,39.5131,41.65,75,100,5.97,overcast clouds
27,Kutum,SD,14.2,24.6667,81.43,38,81,9.35,broken clouds
28,Lerwick,GB,60.1545,-1.1494,53.6,95,15,11.34,few clouds
29,Barra,BR,-11.0894,-43.1417,76.33,54,0,17.67,clear sky
30,Yarada,IN,17.65,83.2667,82.99,75,98,13.15,overcast clouds
31,Sur,OM,22.5667,59.5289,87.48,65,81,7.96,broken clouds
32,Araxa,BR,-19.5933,-46.9406,67.96,56,40,2.3,scattered clouds
