City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Omboue,GA,2022-06-21 03:52:56,-1.5746,9.2618,70.2,90,63,9.31
1,Ushuaia,AR,2022-06-21 03:48:18,-54.8,-68.3,33.46,86,75,23.02
2,Varhaug,NO,2022-06-21 03:52:57,58.6147,5.6457,51.85,78,100,7.72
3,Ormara,PK,2022-06-21 03:52:57,25.2088,64.6357,90.12,48,1,11.61
4,Bhatkal,IN,2022-06-21 03:52:58,13.9667,74.5667,79.59,85,100,5.44
5,Damietta,EG,2022-06-21 03:52:58,31.4165,31.8133,75.09,70,0,6.55
6,Longyearbyen,SJ,2022-06-21 03:52:59,78.2186,15.6401,37.85,86,100,11.43
7,Upernavik,GL,2022-06-21 03:51:09,72.7868,-56.1549,33.21,90,91,9.31
8,Codrington,AU,2022-06-21 03:52:59,-38.2667,141.9667,57.09,62,36,12.1
9,Necochea,AR,2022-06-21 03:51:04,-38.5473,-58.7368,47.57,85,100,8.9
10,Cape Town,ZA,2022-06-21 03:51:04,-33.9258,18.4232,59.38,80,0,8.99
11,Sao Felix Do Xingu,BR,2022-06-21 03:49:27,-6.6447,-51.995,68.45,71,6,1.16
12,Puerto Ayacucho,VE,2022-06-21 03:53:01,5.6639,-67.6236,70.86,96,100,2.06
13,Ribeira Grande,PT,2022-06-21 03:53:01,38.5167,-28.7,64.89,89,97,22.12
14,Charyshskoye,RU,2022-06-21 03:53:02,51.3978,83.5598,75.27,56,80,1.57
15,San Rafael,AR,2022-06-21 03:53:02,-34.6177,-68.3301,43.83,41,25,7.49
16,Quatre Cocos,MU,2022-06-21 03:53:03,-20.2078,57.7625,68.11,58,16,10.42
17,Potsdam,DE,2022-06-21 03:53:03,52.3989,13.0657,56.05,98,2,3.0
18,Qaanaaq,GL,2022-06-21 03:49:36,77.484,-69.3632,36.21,86,94,3.8
19,Port Alfred,ZA,2022-06-21 03:53:05,-33.5906,26.891,59.18,85,9,14.56
20,Hermanus,ZA,2022-06-21 03:53:05,-34.4187,19.2345,50.81,82,75,7.63
21,Saint-Philippe,RE,2022-06-21 03:49:54,-21.3585,55.7679,63.99,70,49,8.01
22,Dikson,RU,2022-06-21 03:53:06,73.5069,80.5464,34.97,97,92,7.0
23,Gat,IL,2022-06-21 03:49:32,31.61,34.7642,72.28,100,44,6.13
24,Lagoa,PT,2022-06-21 03:53:07,39.05,-27.9833,63.59,85,78,19.6
25,Port Elizabeth,ZA,2022-06-21 03:53:08,-33.918,25.5701,56.32,95,0,5.75
26,Saldanha,ZA,2022-06-21 03:53:08,-33.0117,17.9442,53.65,63,98,8.3
27,Dapaong,TG,2022-06-21 03:53:09,10.8639,0.205,76.14,70,100,1.61
28,Ostrovnoy,RU,2022-06-21 03:53:09,68.0531,39.5131,39.63,93,100,9.75
29,Mahebourg,MU,2022-06-21 03:53:10,-20.4081,57.7,68.29,56,20,5.75
30,Umm Kaddadah,SD,2022-06-21 03:53:11,13.6017,26.6876,81.09,51,48,8.84
31,Vila Do Maio,CV,2022-06-21 03:53:11,15.1333,-23.2167,75.99,90,47,9.26
